frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
46	0.4317237	810	405.8542	-0.03665177	-0.4244826	0.904694	0	0	0	0	-0.01308961	0	0.9999144	0	358.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
47	0.4363002	810	405.8542	-0.03425377	-0.4252217	0.9044408	0	0	0	0	-0.01178071	0	0.9999307	0	358.65	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
48	0.4405289	810	405.8542	-0.03423306	-0.4251727	0.9044647	0	0	0	0	-0.01178071	0	0.9999307	0	358.65	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
49	0.4463312	810	404.8542	-0.03182956	-0.4267305	0.9038185	0	0	0	0	-0.0104718	0	0.9999452	0	358.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
50	0.4505663	810	404.8542	-0.02943664	-0.426668	0.9039291	0	0	0	0	-0.009162862	0	0.999958	0	358.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
51	0.4555367	810	405.8542	-0.02942433	-0.4258083	0.9043348	0	0	0	0	-0.009162862	0	0.999958	0	358.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
52	0.4598766	810	405.8542	-0.02624948	-0.4249653	0.904829	0	0	0	0	-0.007417593	0	0.9999725	0	359.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
53	0.4643318	810	404.8542	-0.02622352	-0.4257327	0.9044688	0	0	0	0	-0.007417593	0	0.9999725	0	359.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
54	0.4700311	810	404.8542	-0.02306254	-0.4225247	0.906058	0	0	0	0	-0.005672301	0	0.9999839	0	359.35	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
55	0.4746068	810	404.8542	-0.01830901	-0.4161247	0.9091232	0	0	0	0	-0.003054333	0	0.9999954	0	359.65	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
56	0.4795294	810	404.8542	-0.01828749	-0.4160756	0.9091461	0	0	0	0	-0.003054333	0	0.9999954	0	359.65	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
57	0.4836262	810	404.8542	-0.01509861	-0.408868	0.9124687	0	0	0	0	-0.001309008	0	0.9999992	0	359.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
58	0.4880656	810	404.8542	-0.01507866	-0.4088226	0.9124893	0	0	0	0	-0.001309008	0	0.9999992	0	359.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
59	0.4924418	810	404.8542	-0.01186818	-0.3975953	0.9174841	0	0	0	0	0.0004363206	0	0.9999999	0	0.04999866	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
60	0.4968968	810	404.8542	-0.01184751	-0.3975472	0.9175052	0	0	0	0	0.0004363206	0	0.9999999	0	0.04999866	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
61	0.500812	810	404.8542	-0.01021348	-0.3870642	0.9219962	0	0	0	0	0.001308985	0	0.9999992	0	0.1499986	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
